accx,accy,accz,gyrx,gyry,gyrz
0.7374141,-1.4173675,9.368511,0.10873401,-0.021991149,0.14538592
0.9576807,-1.5011644,9.459491,0.1441642,0.002443461,0.11362094
0.866701,-1.7070658,9.512163,0.13683382,0.040317107,0.118507855
0.79726917,-1.5586253,9.588778,0.1001819,0.037873644,0.14294247
0.79726917,-1.5586253,9.588778,0.05375614,0.03176499,0.16126843
0.33758244,-1.3359646,9.749189,-0.0061086523,0.008552114,0.13194689
0.5291186,-1.2401965,9.799467,-0.10995574,-0.014660766,0.028099801
0.9816227,-1.7142484,9.481039,-0.13683382,-0.008552114,0.028099801
0.9576807,-2.0374656,9.514558,-0.05375614,0.04520403,0.02076942
0.8619126,-2.1092918,9.509769,-0.019547688,0.05497787,0.021991149
0.6847417,-1.7381904,9.689334,-0.021991149,0.036651913,-0.02565634
0.61291564,-1.6831238,9.749189,-0.043982297,0.02443461,-0.056199603
0.5410896,-1.7549498,9.902418,-0.10751228,0.0036651916,-0.04886922
0.7541735,-1.5131354,9.890448,-0.13439035,-0.037873644,-0.010995574
0.9864111,-1.8267759,9.950302,-0.11362094,-0.039095376,-0.040317107
0.94092125,-1.8842367,9.945514,-0.061086524,-0.0012217305,0.002443461
0.8331822,-1.6903064,9.945514,-0.028099801,0.0,0.02565634
0.7541735,-1.5514427,9.919178,-0.039095376,-0.018325957,0.035430185
0.6919243,-1.7166426,9.931149,-0.042760566,-0.04520403,0.030543262
0.78050977,-1.8674773,9.945514,-0.039095376,-0.037873644,0.015882496
0.82599956,-1.9800048,9.868899,-0.009773844,-0.04642576,0.014660766
0.8523358,-1.9488802,9.959879,0.032986723,-0.04520403,0.034208454
0.8499416,-1.661576,9.883265,0.043982297,-0.05131268,0.032986723
0.7517793,-1.5658079,9.80665,0.030543262,-0.058643065,0.021991149
0.9720459,-1.5921441,9.835381,0.029321533,-0.04642576,0.009773844
0.89064306,-1.8243817,9.82341,0.02076942,-0.04153884,0.002443461
0.78050977,-2.0254946,9.763555,0.015882496,-0.034208454,-0.002443461
0.78290397,-1.9129672,9.710882,0.02565634,-0.037873644,-0.018325957
0.8403648,-1.8291701,9.840169,0.008552114,-0.052534413,-0.039095376
0.90021986,-1.7477672,9.840169,-0.015882496,-0.06352998,-0.032986723
0.7589619,-1.8626889,9.8042555,-0.02565634,-0.059864793,-0.0012217305
0.7613561,-1.6017209,9.701305,-0.039095376,-0.07696902,0.05375614
1.0103531,-1.6998832,9.868899,-0.047647487,-0.059864793,0.0061086523
0.9888053,-1.8555063,9.85214,-0.034208454,-0.04886922,0.018325957
0.78769237,-1.7860745,9.844957,-0.015882496,-0.034208454,0.02565634
0.7781156,-1.6424223,9.888053,-0.015882496,-0.037873644,0.037873644
0.8571242,-1.5825673,9.837775,-0.040317107,-0.040317107,0.05009095
0.81642276,-1.6160861,9.706094,-0.073303826,-0.05131268,0.05131268
0.8810662,-1.7980455,9.653421,-0.04520403,-0.04520403,0.04520403
0.91937345,-1.9800048,9.694122,0.002443461,-0.02565634,0.06352998
0.8403648,-2.0111294,9.763555,0.039095376,-0.0036651916,0.065973446
0.7134721,-1.958457,9.742006,0.05009095,-0.0012217305,0.057421334
