accx,accy,accz,gyrx,gyry,gyrz
0.16280572,-3.6846764,8.968679,0.10873401,-0.021991149,0.14538592
-0.5243302,-2.3415294,9.25359,0.1441642,0.002443461,0.11362094
0.61052144,-3.107674,8.774749,0.13683382,0.040317107,0.118507855
1.1109096,-3.904943,8.707711,0.1001819,0.037873644,0.14294247
0.46447513,-3.5649664,9.105149,0.05375614,0.03176499,0.16126843
0.21787235,-3.3327289,9.40203,-0.0061086523,0.008552114,0.13194689
0.49799395,-3.7541082,9.382876,-0.10995574,-0.014660766,0.028099801
0.7302315,-3.9911342,9.270349,-0.13683382,-0.008552114,0.028099801
0.7015011,-3.8546648,9.303867,-0.05375614,0.04520403,0.02076942
0.47165772,-3.5122938,9.313444,-0.019547688,0.05497787,0.021991149
0.59376204,-3.5218706,9.124303,-0.021991149,0.036651913,-0.02565634
0.6919243,-3.8642416,9.038112,-0.043982297,0.02443461,-0.056199603
0.62728083,-3.9193082,9.006987,-0.10751228,0.0036651916,-0.04886922
0.61052144,-3.6990416,8.978256,-0.13439035,-0.037873644,-0.010995574
0.5267244,-3.6750996,9.093178,-0.11362094,-0.039095376,-0.040317107
0.5363012,-3.6822822,9.090784,-0.061086524,-0.0012217305,0.002443461
0.59136784,-3.7852328,9.138668,-0.028099801,0.0,0.02565634
0.63206923,-3.7972038,9.160215,-0.039095376,-0.018325957,0.035430185
0.50278234,-3.727772,9.124303,-0.042760566,-0.04520403,0.030543262
0.5746084,-3.7301662,9.13388,-0.039095376,-0.037873644,0.015882496
0.5482722,-3.6966474,9.093178,-0.009773844,-0.04642576,0.014660766
0.62728083,-3.8546648,9.078813,0.032986723,-0.04520403,0.034208454
0.5722142,-3.9839516,9.102755,0.043982297,-0.05131268,0.032986723
0.5482722,-3.821146,9.114726,0.030543262,-0.058643065,0.021991149
0.60094464,-3.7301662,9.136273,0.029321533,-0.04642576,0.009773844
0.6512229,-3.739743,9.100361,0.02076942,-0.04153884,0.002443461
0.7733272,-3.8833952,8.987833,0.015882496,-0.034208454,-0.002443461
0.7469909,-3.8402996,9.052477,0.02565634,-0.037873644,-0.018325957
0.80205756,-3.751714,9.074024,0.008552114,-0.052534413,-0.039095376
0.7613561,-3.8259344,9.002198,-0.015882496,-0.06352998,-0.032986723
0.7493851,-4.048595,9.097966,-0.02565634,-0.059864793,-0.0012217305
0.7685388,-4.084508,9.188946,-0.039095376,-0.07696902,0.05375614
0.6847417,-4.012682,9.232041,-0.047647487,-0.059864793,0.0061086523
0.7158663,-3.9073372,9.157822,-0.034208454,-0.04886922,0.018325957
0.7661445,-3.8474822,9.176975,-0.015882496,-0.034208454,0.02565634
0.60333884,-3.8498764,9.28232,-0.015882496,-0.037873644,0.037873644
0.7134721,-3.9695864,9.179369,-0.040317107,-0.040317107,0.05009095
0.7517793,-3.8642416,9.097966,-0.073303826,-0.05131268,0.05131268
0.81881696,-3.9360676,9.074024,-0.04520403,-0.04520403,0.04520403
0.80684596,-3.8163576,9.085996,0.002443461,-0.02565634,0.06352998
0.80445176,-3.8522706,8.980651,0.039095376,-0.0036651916,0.065973446
0.91697925,-3.8953662,8.963891,0.05009095,-0.0012217305,0.057421334
0.89782566,-4.0294414,8.935161,0.062308256,-0.002443461,0.040317107
0.8499416,-3.9624038,8.925584,0.06352998,-0.0036651916,0.037873644
0.9744401,-3.86903,8.995016,0.06963864,-0.0036651916,0.03176499
0.94331545,-3.845088,8.9998045,0.0720821,0.0036651916,0.017104227
0.94570965,-3.845088,9.088389,0.05009095,0.017104227,0.047647487
0.9576807,-3.7134068,9.0237465,0.02321288,-0.0036651916,0.028099801
0.9911995,-3.8594532,9.193734,0.02076942,-0.002443461,-0.028099801
0.78529817,-3.928885,9.346964,0.032986723,0.013439035,-0.02565634
0.9840169,-3.9217024,8.872911,0.036651913,0.017104227,-0.017104227
0.90740246,-3.964798,9.143456,0.018325957,0.002443461,0.0012217305
0.9816227,-3.7253778,9.054871,0.012217305,-0.002443461,0.028099801
0.8523358,-3.8139634,8.990228,0.04520403,0.0012217305,0.02443461
0.90261406,-3.8881836,8.980651,0.096516706,0.015882496,0.014660766
0.8858546,-3.8786068,9.050082,0.12705997,0.030543262,0.021991149
0.81163436,-3.9312792,9.229648,0.11484267,0.018325957,0.0061086523
0.7062895,-3.8115692,9.200917,0.06352998,-0.0036651916,-0.0012217305
0.61291564,-3.9983168,9.248801,-0.0012217305,-0.02687807,0.012217305
0.6584055,-3.9073372,9.212888,-0.040317107,-0.035430185,0.0036651916
0.6536171,-3.691859,9.368511,-0.043982297,-0.035430185,0.013439035
0.5793968,-3.9217024,9.414001,0.007330383,-0.013439035,0.0012217305
0.56982,-3.9959226,9.409213,0.014660766,-0.009773844,0.02321288
0.7038953,-3.8905778,9.3421755,0.029321533,-0.015882496,0.03176499
0.92176765,-3.8139634,9.323022,0.036651913,-0.010995574,0.010995574
1.2330139,-3.8187518,9.504981,0.035430185,-0.014660766,0.017104227
1.2330139,-3.8187518,9.504981,0.019547688,-0.017104227,0.03176499
1.400608,-4.1706996,9.933543,0.02076942,-0.028099801,0.039095376
1.4293385,-4.584896,10.465055,0.004886922,-0.030543262,0.22724187
1.6496049,-5.023035,10.936713,0.05009095,-0.0720821,0.080634214
1.6208745,-5.645528,11.018116,0.010995574,-0.057421334,-0.012217305
1.8100165,-5.5377884,11.343728,0.062308256,-0.06841691,0.15149458
1.7764976,-5.365406,11.288661,0.07819075,-0.05131268,0.19914207
