
accx,accy,accz,gyrx,gyry,gyrz
1.1923125,1.091756,9.828198,0.10873401,-0.021991149,0.14538592
1.3623008,1.0654198,9.770737,0.1441642,0.002443461,0.11362094
1.9297266,1.0175357,9.512163,0.13683382,0.040317107,0.118507855
1.9728222,0.9792285,9.390059,0.1001819,0.037873644,0.14294247
1.697489,1.0319009,9.481039,0.05375614,0.03176499,0.16126843
1.4748282,1.0773908,9.334992,-0.0061086523,0.008552114,0.13194689
1.4652514,0.89303726,9.255983,-0.10995574,-0.014660766,0.028099801
1.4460979,1.0247183,9.385271,-0.13683382,-0.008552114,0.028099801
1.5298948,0.91219085,9.433155,-0.05375614,0.04520403,0.02076942
1.6759412,0.6943185,9.622296,-0.019547688,0.05497787,0.021991149
1.6519991,0.7206547,9.653421,-0.021991149,0.036651913,-0.02565634
1.6041151,0.90500826,9.667787,-0.043982297,0.02443461,-0.056199603
1.5131354,0.6679823,9.854534,-0.10751228,0.0036651916,-0.04886922
1.4915876,0.8619126,9.847352,-0.13439035,-0.037873644,-0.010995574
1.6112977,0.80205756,9.902418,-0.11362094,-0.039095376,-0.040317107
1.7357962,0.48602295,9.92636,-0.061086524,-0.0012217305,0.002443461
1.4915876,0.33518824,9.8042555,-0.028099801,0.0,0.02565634
1.1875241,0.24660277,9.751583,-0.039095376,-0.018325957,0.035430185
0.9600749,0.24181437,9.91439,-0.042760566,-0.04520403,0.030543262
0.7134721,0.35194764,10.13705,-0.039095376,-0.037873644,0.015882496
0.80205756,0.39504328,10.280702,-0.009773844,-0.04642576,0.014660766
0.91697925,0.2873042,10.275913,0.032986723,-0.04520403,0.034208454
0.94092125,0.20350714,10.472239,0.043982297,-0.05131268,0.032986723
1.1444284,0.2633622,10.546458,0.030543262,-0.058643065,0.021991149
1.3862427,0.38307226,10.484209,0.029321533,-0.04642576,0.009773844
1.6567876,0.24899697,10.398018,0.02076942,-0.04153884,0.002443461
1.520318,0.10295067,10.208876,0.015882496,-0.034208454,-0.002443461
1.4173675,0.23942018,10.19451,0.02565634,-0.037873644,-0.018325957
1.292869,0.5410896,10.101137,0.008552114,-0.052534413,-0.039095376
1.4460979,0.4189853,10.055647,-0.015882496,-0.06352998,-0.032986723
1.5634137,0.2657564,9.959879,-0.02565634,-0.059864793,-0.0012217305
1.8363527,0.1316811,9.813833,-0.039095376,-0.07696902,0.05375614
1.934515,-0.088585466,9.799467,-0.047647487,-0.059864793,0.0061086523
2.0350714,0.04309563,9.744401,-0.034208454,-0.04886922,0.018325957
2.2577322,0.011971008,9.801862,-0.015882496,-0.034208454,0.02565634
2.420538,0.035913024,9.720459,-0.015882496,-0.037873644,0.037873644
2.4732103,-0.045489833,9.653421,-0.040317107,-0.040317107,0.05009095
2.1571758,-0.02873042,9.3182335,-0.073303826,-0.05131268,0.05131268
2.066196,-0.093373865,8.858546,-0.04520403,-0.04520403,0.04520403
2.2146366,-0.4189853,8.585608,0.002443461,-0.02565634,0.06352998
2.1883004,-0.60573304,8.676587,0.039095376,-0.0036651916,0.065973446
2.2026656,-0.038307227,8.920795,0.05009095,-0.0012217305,0.057421334
2.2026656,-0.038307227,8.920795,0.062308256,-0.002443461,0.040317107
2.0614076,0.02633622,8.980651,0.06352998,-0.0036651916,0.037873644
2.1763294,-0.15562311,8.90643,0.06963864,-0.0036651916,0.03176499
2.6264393,-0.272939,8.937555,0.0720821,0.0036651916,0.017104227
2.80361,-0.40462008,8.925584,0.05009095,0.017104227,0.047647487
2.6192567,-0.6967127,8.980651,0.02321288,-0.0036651916,0.028099801
