accx,accy,accz,gyrx,gyry,gyrz,magx,magy,magz,linaccx,linaccy,linaccz,rotx,roty,rotz,timestamp
-6.078878,-3.0789435,6.919243,-0.103847094,-0.17715092,0.13194689,0.0,0.0,0.0,-1.6879122,0.5315128,-1.0654198,0.1,0.1,0.1,0.013923000000000001
-5.5737014,-2.432509,7.9248075,-0.21502456,-0.18936823,0.23457226,0.0,0.0,0.0,-1.0510546,1.1492168,0.0,0.1,0.1,0.1,9.715423999999999
-4.0414124,-3.371036,8.39886,-0.39461896,-0.14049901,0.15760323,0.0,0.0,0.0,0.47884035,0.21068975,0.47165772,0.1,0.1,0.1,10.623616
-3.4021606,-4.2784386,8.537724,-0.39706242,-0.09407325,0.13805555,0.0,0.0,0.0,1.163582,-0.6823475,0.641646,0.1,0.1,0.1,9.413615
-3.0262709,-4.6471453,7.8888946,-0.26511553,-0.05009095,0.15027285,323.63998,-335.46,-1141.32,1.5394717,-1.0510546,-0.0047884034,0.1,0.1,0.1,11.270229999999998
-3.2082303,-5.2265425,8.073248,-0.052534413,-0.035430185,0.09040806,323.58,-335.46,-1140.96,1.352724,-1.5969325,0.19153613,0.1,0.1,0.1,9.376807
-3.1747115,-3.8546648,8.525752,0.057421334,0.0012217305,0.0061086523,323.58,-335.34,-1140.48,1.3862427,-0.22505496,0.6440403,-0.22767,0.163522,0.062032,11.636731000000001
-3.3207579,-4.0438066,8.195353,-0.039095376,-0.004886922,-0.010995574,323.82,-334.97998,-1140.12,1.1731589,-0.40222588,0.2801216,-0.22767,0.163522,0.062032,8.437192999999999
-3.5410242,-4.223372,8.128315,-0.019547688,-0.007330383,-0.028099801,323.75998,-334.44,-1140.72,0.9528923,-0.581791,0.21308395,-0.22767,0.163522,0.062032,10.059039
-3.881001,-3.9935284,8.283937,0.019547688,-0.010995574,-0.047647487,323.75998,-334.25998,-1140.72,0.5267244,-0.30645782,0.33997664,-0.22767,0.163522,0.062032,9.985384
-4.3766007,-3.845088,8.259995,0.028099801,-0.019547688,-0.052534413,324.06,-334.62,-1140.36,0.031124622,-0.15801731,0.31603462,-0.22767,0.163522,0.062032,10.367577
-4.7405195,-3.6248214,8.147469,0.03176499,-0.02321288,-0.04886922,324.24,-335.03998,-1139.58,-0.38307226,0.079008654,0.18435353,-0.22767,0.163522,0.062032,9.686038
-5.1379566,-3.5122938,8.003817,0.02443461,-0.021991149,-0.032986723,324.06,-335.4,-1138.9199,-0.78050977,0.19153613,0.04070143,-0.221736,0.188336,0.067774,10.064385
-5.2720323,-3.3087866,7.8769236,-0.007330383,-0.017104227,-0.018325957,324.12,-335.03998,-1138.5,-0.92176765,0.39504328,-0.088585466,-0.221736,0.188336,0.067774,9.988922
-5.2720323,-3.3087866,7.8769236,-0.035430185,-0.014660766,-0.009773844,323.58,-334.86,-1138.98,-0.92176765,0.39504328,-0.088585466,-0.221736,0.188336,0.067774,9.981231
-4.984728,-3.430891,7.6494746,-0.096516706,-0.018325957,0.0061086523,323.1,-335.03998,-1138.44,-0.62728083,0.2705448,-0.31124622,-0.221736,0.188336,0.067774,10.070693
-4.853047,-3.7804444,7.759608,-0.096516706,-0.0061086523,0.009773844,323.46,-335.1,-1137.72,-0.49559975,-0.076614454,-0.20111294,-0.222998,0.201547,0.071372,10.065538
-4.805163,-3.8714242,7.8769236,-0.089186326,0.002443461,0.013439035,323.22,-335.58,-1137.72,-0.4261679,-0.1604115,-0.06943185,-0.222998,0.201547,0.071372,9.986807
-4.673482,-3.9121256,7.7332716,-0.081855945,0.004886922,0.013439035,323.03998,-335.03998,-1137.5399,-0.29448682,-0.20111294,-0.21308395,-0.222998,0.201547,0.071372,10.046346
-4.489128,-4.201824,7.69257,-0.05375614,0.0061086523,0.002443461,322.86,-334.97998,-1139.16,-0.08619126,-0.48123455,-0.23702596,-0.222998,0.201547,0.071372,10.009037
-4.3263226,-4.134786,7.740454,-0.012217305,0.02565634,-0.013439035,322.74,-334.32,-1140.0599,0.074220255,-0.4141969,-0.18914193,-0.222998,0.201547,0.071372,11.008809
-4.307169,-4.185065,7.917625,0.0012217305,0.032986723,-0.017104227,322.74,-334.25998,-1140.0,0.10534488,-0.45729253,-0.0023942017,-0.222998,0.201547,0.071372,9.051231999999999
-4.2904096,-4.10845,7.9248075,0.040317107,0.030543262,-0.035430185,322.86,-334.38,-1139.76,0.12210429,-0.38067806,0.0023942017,-0.226097,0.204339,0.070774,12.537921
-4.211401,-4.2042184,7.941567,0.04153884,0.034208454,-0.04520403,322.68,-333.9,-1139.34,0.20829555,-0.47165772,0.02633622,-0.226097,0.204339,0.070774,7.645615
-4.201824,-4.086902,7.9463553,0.04153884,0.043982297,-0.05375614,322.5,-334.08,-1138.9199,0.21787235,-0.35434186,0.031124622,-0.226097,0.204339,0.070774,9.931846
-4.3047748,-3.9863458,7.9272017,0.02321288,0.04153884,-0.056199603,322.97998,-334.44,-1138.98,0.11731588,-0.23942018,0.019153614,-0.226097,0.204339,0.070774,9.989846
-4.3263226,-4.000711,7.8865004,0.02321288,0.037873644,-0.04520403,322.97998,-334.86,-1139.28,0.095768064,-0.25378537,-0.019153614,-0.225977,0.209509,0.070346,10.029001000000001
-4.4939165,-3.9240966,7.917625,0.014660766,0.03176499,-0.032986723,322.97998,-335.16,-1138.9199,-0.07182605,-0.16280572,0.016759412,-0.225977,0.209509,0.070346,10.010001
-4.5872903,-3.8594532,7.9008656,0.014660766,0.010995574,-0.021991149,323.16,-335.58,-1139.7,-0.16519992,-0.09816227,0.0,-0.225977,0.209509,0.070346,10.047732
-4.606444,-3.7972038,7.881712,0.0,0.0036651916,-0.009773844,322.5,-335.4,-1139.94,-0.18435353,-0.02633622,-0.011971008,-0.225977,0.209509,0.070346,9.990807
-4.620809,-3.8402996,7.81228,-0.008552114,-0.002443461,0.0012217305,322.86,-335.1,-1140.0,-0.19871874,-0.06943185,-0.08140286,-0.225977,0.209509,0.070346,10.350153
-4.548983,-3.7780502,7.9248075,-0.008552114,-0.0012217305,0.0036651916,322.8,-334.38,-1140.6,-0.12449849,0.0,0.033518825,-0.225977,0.209509,0.070346,9.697422
