accx,accy,accz,gyrx,gyry,gyrz
2.846706,-2.44448,9.722853,0.07696902,0.015882496,0.02443461
2.4349031,-2.5833437,9.464279,0.02076942,-0.021991149,0.02076942
1.6639702,-2.4468741,9.248801,-0.039095376,-0.013439035,0.0012217305
1.4508862,-2.1883004,9.0716305,-0.043982297,-0.002443461,0.0
1.541866,-1.8387469,8.858546,-0.018325957,0.014660766,0.017104227
1.8028339,-1.8243817,9.095572,0.007330383,0.009773844,0.028099801
2.5953147,-2.3678656,8.947132,0.010995574,-0.0061086523,0.02687807
2.0159178,-2.1547816,8.789114,-0.0036651916,-0.019547688,0.029321533
1.733402,-2.4301147,9.052477,-0.012217305,-0.019547688,0.032986723
1.7477672,-2.3080103,9.308656,-0.007330383,-0.018325957,0.039095376
1.7956513,-2.147599,9.421184,0.0036651916,-0.029321533,0.040317107
1.9512744,-2.231396,9.533711,0.010995574,-0.035430185,0.040317107
2.078167,-2.2864625,9.552865,0.012217305,-0.03176499,0.039095376
2.0350714,-2.2290018,9.557653,0.002443461,-0.029321533,0.030543262
1.8602947,-2.2098482,9.655815,0.012217305,-0.019547688,0.030543262
1.8626889,-2.4061728,9.526528,0.02687807,-0.013439035,0.036651913
1.8794483,-2.3750482,9.533711,0.028099801,-0.015882496,0.02687807
1.8986019,-2.2816741,9.445126,0.02565634,-0.010995574,0.017104227
1.9057846,-2.3463178,9.44752,0.03176499,-0.007330383,0.02076942
1.9129672,-2.2577322,9.320627,0.03176499,-0.0036651916,0.021991149
1.9249382,-2.1691468,9.332599,0.018325957,-0.0012217305,0.012217305
1.910573,-2.2601264,9.387665,-0.0036651916,-0.0012217305,0.007330383
1.910573,-2.2720973,9.382876,-0.009773844,-0.004886922,0.008552114
1.9393034,-2.3175871,9.32781,0.012217305,-0.0061086523,0.004886922
1.8267759,-2.372654,9.344569,0.04153884,-0.004886922,0.0012217305
1.8459295,-2.3989902,9.363723,0.05497787,0.0012217305,-0.0012217305
1.8555063,-2.2816741,9.390059,0.05131268,-0.0012217305,0.0012217305
1.9560628,-2.2697031,9.449914,0.035430185,-0.0012217305,0.004886922
1.7788919,-2.3008277,9.315839,0.014660766,0.0012217305,0.002443461
1.7549498,-2.267309,9.339781,-0.0012217305,0.0,0.0
1.8195933,-2.3104045,9.380483,-0.0061086523,0.004886922,-0.002443461
1.8650831,-2.2864625,9.284714,0.0036651916,0.0,-0.008552114
1.8818425,-2.3319526,9.31105,0.034208454,-0.0036651916,0.0
1.8626889,-2.2218192,9.349358,0.05497787,-0.008552114,0.004886922
1.8459295,-2.231396,9.397242,0.05009095,-0.009773844,0.007330383
1.8555063,-2.2768857,9.32781,0.02443461,-0.010995574,0.008552114
1.8243817,-2.3678656,9.3661175,-0.0061086523,-0.008552114,0.009773844
1.7908629,-2.3630772,9.461885,-0.021991149,-0.004886922,0.010995574
1.910573,-2.2002714,9.478644,-0.017104227,-0.0036651916,0.018325957
1.8507179,-2.2840683,9.516952,-0.019547688,-0.0036651916,0.014660766
1.8339585,-2.4061728,9.461885,0.002443461,-0.007330383,0.004886922
1.70946,-2.2242134,9.370906,0.034208454,0.0,0.004886922
1.8315643,-2.3822308,9.368511,0.05131268,0.0,0.0012217305
1.8171991,-2.2744915,9.416395,0.04520403,0.0036651916,-0.002443461
1.6950948,-2.1188686,9.368511,0.035430185,0.012217305,-0.002443461
1.7429788,-2.2481554,9.279925,0.02443461,0.012217305,-0.0012217305
1.6591818,-2.4277205,9.255983,0.013439035,0.018325957,-0.004886922
1.6927006,-2.2337902,9.165004,0.014660766,0.021991149,-0.004886922
1.7429788,-2.0829554,9.112331,0.035430185,0.021991149,-0.007330383
1.8148049,-1.9440918,8.978256,0.058643065,0.02076942,-0.014660766
1.8148049,-2.066196,9.028535,0.06841691,0.018325957,-0.015882496
1.8363527,-1.9273324,8.908825,0.06352998,0.017104227,-0.017104227
1.9680338,-1.8914193,9.100361,0.05375614,0.02321288,-0.018325957
2.0901382,-1.6998832,9.248801,0.040317107,0.021991149,-0.017104227
3.205836,-1.6519991,8.932767,0.035430185,0.021991149,-0.012217305
1.4700398,-0.6440403,8.279149,0.032986723,0.021991149,-0.007330383
0.9768343,-1.3718776,9.97185,0.047647487,0.028099801,-0.009773844
1.7836803,-1.6496049,8.801085,0.062308256,0.032986723,-0.008552114
1.7836803,-1.6496049,8.801085,0.06352998,0.039095376,-0.009773844
1.7788919,-2.1452048,8.470686,0.04886922,0.040317107,-0.015882496
1.8579005,-2.5306711,8.2169,0.04153884,0.036651913,-0.018325957
1.8746599,-3.1148565,8.367735,0.032986723,0.028099801,-0.02443461
1.9009962,-3.4476504,8.420407,0.032986723,0.02443461,-0.02687807
1.9608512,-2.9017725,8.415619,0.042760566,0.029321533,-0.034208454
1.9369092,-2.0566192,9.040505,0.058643065,0.032986723,-0.037873644
1.6591818,-1.4652514,9.61272,0.065973446,0.039095376,-0.039095376
1.7190368,-0.9720459,9.995792,0.0720821,0.039095376,-0.034208454
1.6376339,-1.1971009,10.45069,0.0720821,0.039095376,-0.034208454
1.8650831,-1.4173675,10.16578,0.059864793,0.040317107,-0.039095376
2.0973208,-2.7605145,10.539276,0.05375614,0.04520403,-0.040317107
2.3894134,-4.6160207,11.719617,0.06719518,0.05009095,-0.034208454
2.8060043,-5.0421886,12.524069,0.07696902,0.05131268,-0.032986723
