accx,accy,accz,gyrx,gyry,gyrz
-1.2210429,-2.4588451,10.0341,0.10873401,-0.021991149,0.14538592
-0.45968673,-1.9680338,9.82341,0.1441642,0.002443461,0.11362094
1.2042835,-1.8195933,9.481039,0.13683382,0.040317107,0.118507855
0.09816227,-3.4715924,8.796297,0.1001819,0.037873644,0.14294247
-0.51235914,-2.9999347,9.018958,0.05375614,0.03176499,0.16126843
-0.46208093,-2.0566192,9.308656,-0.0061086523,0.008552114,0.13194689
-0.40222588,-2.1859062,9.442732,-0.10995574,-0.014660766,0.028099801
-0.34476504,-2.5330653,9.382876,-0.13683382,-0.008552114,0.028099801
-0.32800564,-2.44448,9.485827,-0.05375614,0.04520403,0.02076942
-0.2825158,-2.3199813,9.653421,-0.019547688,0.05497787,0.021991149
-0.35434186,-2.456451,9.718064,-0.021991149,0.036651913,-0.02565634
-0.2753332,-2.4947581,9.722853,-0.043982297,0.02443461,-0.056199603
-0.22984336,-2.3702598,9.744401,-0.10751228,0.0036651916,-0.04886922
-0.15322891,-2.3942018,9.694122,-0.13439035,-0.037873644,-0.010995574
-0.19871874,-2.360683,9.572019,-0.11362094,-0.039095376,-0.040317107
-0.16998832,-2.4875755,9.519346,-0.061086524,-0.0012217305,0.002443461
-0.12689269,-2.4779987,9.497798,-0.028099801,0.0,0.02565634
-0.21547815,-2.3918076,9.497798,-0.039095376,-0.018325957,0.035430185
-0.19871874,-2.4756045,9.519346,-0.042760566,-0.04520403,0.030543262
-0.18435353,-2.5330653,9.574412,-0.039095376,-0.037873644,0.015882496
-0.18435353,-2.6360161,9.64145,-0.009773844,-0.04642576,0.014660766
-0.22026655,-2.7102363,9.576807,0.032986723,-0.04520403,0.034208454
-0.18914193,-2.741361,9.603143,0.043982297,-0.05131268,0.032986723
-0.22026655,-2.6551697,9.631873,0.030543262,-0.058643065,0.021991149
-0.22984336,-2.6001031,9.68694,0.029321533,-0.04642576,0.009773844
-0.25617957,-2.6384103,9.622296,0.02076942,-0.04153884,0.002443461
-0.2681506,-2.7006595,9.5385,0.015882496,-0.034208454,-0.002443461
-0.19871874,-2.7341783,9.540894,0.02565634,-0.037873644,-0.018325957
-0.2633622,-2.8395233,9.461885,0.008552114,-0.052534413,-0.039095376
-0.260968,-2.779668,9.471462,-0.015882496,-0.06352998,-0.032986723
-0.30166942,-2.755726,9.52174,-0.02565634,-0.059864793,-0.0012217305
-0.24899697,-2.753332,9.445126,-0.039095376,-0.07696902,0.05375614
-0.24181437,-2.8275523,9.495404,-0.047647487,-0.059864793,0.0061086523
-0.31124622,-2.873042,9.569624,-0.034208454,-0.04886922,0.018325957
-0.31124622,-2.80361,9.651027,-0.015882496,-0.034208454,0.02565634
-0.31364042,-2.7341783,9.622296,-0.015882496,-0.037873644,0.037873644
-0.24181437,-2.7748797,9.572019,-0.040317107,-0.040317107,0.05009095
-0.32321724,-2.8083985,9.433155,-0.073303826,-0.05131268,0.05131268
